POPID,RECOVERYDOMAIN,ESU_DPS,MAJORPOPGROUP,POPULATIONNAME,ESAPOPNAME,NMFS_POPID,NMFS_POPULATION,NMFS_POPCODE,NMFS_SPECIES,NMFS_COMMON_SPECIES,NMFS_RUN,POPSTATUS,NMFS_TYPE,LISTING_STATUS,DEFINEDBY,BPA_PRIORITY,SPECIES,RUN,FCRPS_SECTION,FCRPS_SECTIONTITLE,INCAX,RTID,CONTACTAGENCY,RECORDNOTE,DATASETVERSION,UPDDATE,SNLOADDATE,LASTUPDATED,LASTMODIFIEDON
1,Interior Columbia,"Salmon, Chinook (Snake River fall-run ESU)",Snake River,Snake River Lower Mainstem - fall Chinook salmon,"Salmon, Chinook (Snake River fall-run ESU) Snake River Lower Mainstem - fall",56,Snake River Lower Mainstem,CKSRFfaSRL,Oncorhynchus tshawytscha,Chinook,fall,Extant,Independent,Threatened,NMFS,2,Chinook salmon,Fall,8.02        ,8.2 Snake River Fall Chinook Salmon,1,30119030300,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
2,Interior Columbia,,Dry Clearwater,Lapwai/Big Canyon Creeks - Chinook salmon,,,,,,,,Reintroduced,,Not listed,IDFG,3,Chinook salmon,Spring/summer,,,1,,IDFG,"Reintroduced, nonlisted population.  Run changed 4/12/2019.
",2020/08/11 10:00,2019/04/12 03:00:00,,,2019/04/12 03:22:00
3,Interior Columbia,,Dry Clearwater,Lawyer Creek - Chinook salmon,,,,,,,,Reintroduced,,Not listed,IDFG,3,Chinook salmon,Spring/summer,,,1,,IDFG,"Reintroduced, nonlisted population.  Run changed 4/12/2019.
",2020/08/11 10:00,2019/04/12 03:00:00,,,2019/04/12 03:22:00
4,Interior Columbia,,Dry Clearwater,Potlatch River - Chinook salmon,,,,,,,,Reintroduced,,Not listed,IDFG,3,Chinook salmon,Spring/summer,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,,IDFG,"Reintroduced, nonlisted population.  Run changed 4/12/2019.
",2020/08/11 10:00,2019/04/12 03:00:00,,,2019/04/12 03:13:00
5,Interior Columbia,,Dry Clearwater,South Fork Clearwater River Upper Mainstem - Chinook salmon,,,,,,,,Reintroduced,,Not listed,IDFG,3,Chinook salmon,Spring/summer,,,1,,IDFG,"Reintroduced, nonlisted population.  Run changed 4/12/2019.
",2020/08/11 10:00,2019/04/12 03:00:00,,,2019/04/12 03:13:00
6,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Grande Ronde/Imnaha,Big Sheep Creek - spring Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Big Sheep Creek - spring",60,Big Sheep Creek,CKSRSspBSC,Oncorhynchus tshawytscha,Chinook,spring,Functionally Extirpated,Independent,Threatened,NMFS,3,Chinook salmon,Spring,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060321,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/04/02 10:45:00
7,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Grande Ronde/Imnaha,Catherine Creek - spring Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Catherine Creek - spring",62,Catherine Creek,CKSRSspCTH,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,1,Chinook salmon,Spring,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060318,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
8,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Grande Ronde/Imnaha,Grande Ronde River Upper Mainstem - spring Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Grande Ronde River Upper Mainstem - spring",66,Grande Ronde River Upper Mainstem,CKSRSspGRU,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,1,Chinook salmon,Spring,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060319,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
9,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Grande Ronde/Imnaha,Imnaha River Mainstem - spring/summer Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Imnaha River Mainstem - spring/summer",67,Imnaha River Mainstem,CKSRSssIMN,Oncorhynchus tshawytscha,Chinook,spring/summer,Extant,Independent,Threatened,NMFS,2,Chinook salmon,Spring/summer,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060320,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
10,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Grande Ronde/Imnaha,Lookingglass Creek - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Lookingglass Creek - unknown",74,Lookingglass Creek,CKSRSxxLKG,Oncorhynchus tshawytscha,Chinook,unknown,Functionally Extirpated,Independent,Threatened,NMFS,3,Chinook salmon,unknown,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060317,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
