"facility_name.x","quasi_noaa_name","species.x","stock.x","run.x","stock.y","run.y","species.y","facility_name.y","nosa_common_pop_name","dist1","dist2","dist3","dist4","dist5"
"beaver cr hatchery","Elochoman River FALL COHO","coho","elochoman river","fall","lower cowlitz ","fall","coho","lower cowlitz ","Lower Cowlitz Coho",12,0,0,13,25
"cowlitz salmon hatchery","Cowlitz River FALL CHINOOK","chinook","cowlitz river","fall","lewis river ","fall","chinook","lewis river ","Lewis River Late Fall (Bright) Chinook",6,0,0,17,23
"cowlitz salmon hatchery","Cowlitz River FALL CHINOOK","chinook","cowlitz river","fall","lewis river ","fall","chinook","lewis river ","Lewis River Fall (Tule) Chinook",6,0,0,17,23
"cowlitz salmon hatchery","Cowlitz River FALL COHO","coho","cowlitz river","fall","salmon creek ","fall","coho","salmon creek ","Salmon Creek Coho",11,0,0,15,26
"cowlitz salmon hatchery","Cowlitz River Hatchery Stock FALL CHINOOK","chinook","cowlitz river hatchery stock","fall","big white salmon river ","fall","chinook","big white salmon river ","Big White Salmon River Fall (Tule) Chinook",23,0,0,12,35
"cowlitz salmon hatchery","Cowlitz River Hatchery Stock SPRING CHINOOK","chinook","cowlitz river hatchery stock","spring","big white salmon river","spring","chinook","big white salmon river","Big White Salmon River Spring Chinook",22,0,0,12,34
"cowlitz salmon hatchery","Cowlitz River WINTER STEELHEAD","steelhead","cowlitz river","winter","coweeman","winter","steelhead","coweeman","Coweeman Winter Steelhead",10,0,0,18,28
"cowlitz salmon hatchery","Tilton River WINTER STEELHEAD","steelhead","tilton river","winter","tilton","winter","steelhead","tilton","Tilton Winter Steelhead",6,0,0,19,25
"cowlitz salmon hatchery","Upper Cowlitz River FALL COHO","coho","upper cowlitz river","fall","lower cowlitz ","fall","coho","lower cowlitz ","Lower Cowlitz Coho",8,0,0,18,26
"cowlitz trout hatchery","Lower Cowlitz River WINTER STEELHEAD","steelhead","lower cowlitz river","winter","lower cowlitz","winter","steelhead","lower cowlitz","Lower Cowlitz Winter Steelhead",6,0,0,17,23
"cowlitz trout hatchery","Tilton River WINTER STEELHEAD","steelhead","tilton river","winter","tilton","winter","steelhead","tilton","Tilton Winter Steelhead",6,0,0,19,25
"cowlitz trout hatchery","Upper Cowlitz River WINTER STEELHEAD","steelhead","upper cowlitz river","winter","lower cowlitz","winter","steelhead","lower cowlitz","Lower Cowlitz Winter Steelhead",9,0,0,17,26
"grays river hatchery","Grays River FALL CHUM","chum","grays river","fall","grays ","fall","chum","grays ","Grays/Chinook Fall Chum",5,0,0,14,19
"grays river hatchery","Grays River FALL COHO","coho","grays river","fall","grays ","fall","coho","grays ","Grays/Chinook Coho",5,0,0,14,19
"kalama falls hatchery","Kalama Falls Hatchery WINTER STEELHEAD","steelhead","kalama falls hatchery","winter","kalama","winter","steelhead","kalama","Kalama Winter Steelhead",15,0,0,15,30
"kalama falls hatchery","Kalama River FALL CHINOOK","chinook","kalama river","fall","kalama ","fall","chinook","kalama ","Kalama Fall (Tule) Chinook",5,0,0,14,19
"kalama falls hatchery","Kalama River FALL COHO","coho","kalama river","fall","kalama ","fall","coho","kalama ","Kalama Coho",5,0,0,14,19
"kalama falls hatchery","Kalama River SPRING CHINOOK","chinook","kalama river","spring","kalama","spring","chinook","kalama","Kalama Spring Chinook",6,0,0,15,21
"kalama falls hatchery","Kalama River SUMMER STEELHEAD","steelhead","kalama river","summer","kalama","summer","steelhead","kalama","Kalama Summer Steelhead",6,0,0,15,21
