"","name","brood_code","Brood_Year","latitude","longitude","event_type_id","description","species_description","run_description","stock_description","Origin_desc","mark_type","males","females","adults","jacks","quasi_noaa_name"
"1","BEAVER CR HATCHERY","CH:NA:GRAY:2019:MW",2019,46.225902,-123.328784,3,"EggTake","CHUM","NA","Grays River","Mixed Hatchery/Wild Origin","Unmarked",110,112,"NULL",0,"Grays River FALL CHUM"
"2","BEAVER CR HATCHERY","CH:NA:GRAY:2020:MW",2020,46.225902,-123.328784,3,"EggTake","CHUM","NA","Grays River","Mixed Hatchery/Wild Origin","Unmarked",99,99,"NULL",0,"Grays River FALL CHUM"
"3","BEAVER CR HATCHERY","CH:NA:GRAY:2021:MW",2021,46.225902,-123.328784,3,"EggTake","CHUM","NA","Grays River","Mixed Hatchery/Wild Origin","Unmarked",96,96,"NULL",0,"Grays River FALL CHUM"
"4","BEAVER CR HATCHERY","CH:NA:GRAY:2022:MW",2022,46.225902,-123.328784,3,"EggTake","CHUM","NA","Grays River","Mixed Hatchery/Wild Origin","Unmarked",99,99,"NULL",0,"Grays River FALL CHUM"
"5","BEAVER CR HATCHERY","CK:FA:ELOC:2012:H",2012,46.225902,-123.328784,3,"EggTake","CHINOOK","FALL","Elochoman River","Hatchery Origin","AD",18,20,"NULL",0,"Elochoman River FALL CHINOOK"
"6","BEAVER CR HATCHERY","CO:NO:ELOC:2019:H",2019,46.225902,-123.328784,3,"EggTake","COHO","TYPE N","Elochoman River","Hatchery Origin","AD",253,268,"NULL",9,"Elochoman River FALL COHO"
"7","BEAVER CR HATCHERY","CO:NO:ELOC:2019:MW",2019,46.225902,-123.328784,3,"EggTake","COHO","TYPE N","Elochoman River","Mixed Hatchery/Wild Origin","AD",2,3,"NULL",0,"Elochoman River FALL COHO"
"8","BEAVER CR HATCHERY","CO:NO:ELOC:2019:MW",2019,46.225902,-123.328784,3,"EggTake","COHO","TYPE N","Elochoman River","Mixed Hatchery/Wild Origin","Unmarked",1,0,"NULL",0,"Elochoman River FALL COHO"
"9","BEAVER CR HATCHERY","CO:NO:ELOC:2020:H",2020,46.225902,-123.328784,3,"EggTake","COHO","TYPE N","Elochoman River","Hatchery Origin","AD",32,70,"NULL",39,"Elochoman River FALL COHO"
"10","BEAVER CR HATCHERY","CO:NO:ELOC:2020:MW",2020,46.225902,-123.328784,3,"EggTake","COHO","TYPE N","Elochoman River","Mixed Hatchery/Wild Origin","AD",42,74,"NULL",0,"Elochoman River FALL COHO"
"11","BEAVER CR HATCHERY","CO:NO:ELOC:2020:MW",2020,46.225902,-123.328784,3,"EggTake","COHO","TYPE N","Elochoman River","Mixed Hatchery/Wild Origin","Unmarked",65,43,"NULL",1,"Elochoman River FALL COHO"
"12","BEAVER CR HATCHERY","CO:NO:ELOC:2021:H",2021,46.225902,-123.328784,3,"EggTake","COHO","TYPE N","Elochoman River","Hatchery Origin","AD",436,421,"NULL",11,"Elochoman River FALL COHO"
"13","BEAVER CR HATCHERY","CO:NO:ELOC:2021:MW",2021,46.225902,-123.328784,3,"EggTake","COHO","TYPE N","Elochoman River","Mixed Hatchery/Wild Origin","AD",130,134,"NULL",6,"Elochoman River FALL COHO"
"14","BEAVER CR HATCHERY","CO:NO:ELOC:2021:MW",2021,46.225902,-123.328784,3,"EggTake","COHO","TYPE N","Elochoman River","Mixed Hatchery/Wild Origin","Unmarked",53,49,"NULL",3,"Elochoman River FALL COHO"
