"ESA_Population_Name","Brood_Year","Species","pNOB","pHOB","Total_Releases","Popfit","Best_Value","NOSAIJ","NOSAEJ","pHOSIJ","pHOSEJ","TSAIJ","TSAEJ","pHOS","pNOS","pNI","NOSA","TSA"
"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall",2010,"chinook",NA,NA,0,"Same","Yes",NA,413,NA,0.293,NA,584,0.293,0.707,NA,413,584
"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall",2011,"chinook",NA,NA,0,"Same","Yes",NA,622,NA,0.119,NA,707,0.119,0.881,NA,622,707
"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall",2012,"chinook",NA,NA,0,"Same","Yes",NA,463,NA,0.118,NA,526,0.118,0.882,NA,463,526
"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall",2013,"chinook",NA,NA,0,"Same","Yes",NA,1568,NA,0.325,NA,2322,0.325,0.675,NA,1568,2322
"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall",2014,"chinook",NA,NA,0,"Same","Yes",NA,794,NA,0.043,NA,830,0.043,0.957,NA,794,830
"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall",2015,"chinook",NA,NA,0,"Same","Yes",NA,1359,NA,0.023,NA,1391,0.023,0.977,NA,1359,1391
"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall",2016,"chinook",NA,NA,0,"Same","Yes",NA,411,NA,0.064,NA,439,0.064,0.936,NA,411,439
"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall",2017,"chinook",NA,NA,0,"Same","Yes",NA,721,NA,0.143,NA,841,0.143,0.857,NA,721,841
"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall",2018,"chinook",NA,NA,0,"Same","Yes",NA,216,NA,0.116,NA,244,0.116,0.884,NA,216,244
"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall",2019,"chinook",NA,NA,0,"Same","Yes",NA,287,NA,0.217,NA,366,0.217,0.783,NA,287,366
"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall",2020,"chinook",NA,NA,0,"Same","Yes",NA,744,NA,0.078,NA,807,0.078,0.922,NA,744,807
"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall",2021,"chinook",NA,NA,0,"Same","Yes",NA,607,NA,0.092,NA,669,0.092,0.908,NA,607,669
"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall",2022,"chinook",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall",2023,"chinook",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall",2010,"chinook",NA,NA,0,"Same","Yes",NA,136,NA,0.892,NA,1260,0.892,0.108,NA,136,1260
"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall",2011,"chinook",NA,NA,0,"Same","Yes",NA,63,NA,0.942,NA,1083,0.942,0.0580000000000001,NA,63,1083
"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall",2012,"chinook",NA,NA,0,"Same","Yes",NA,62,NA,0.699,NA,206,0.699,0.301,NA,62,206
"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall",2013,"chinook",NA,NA,0,"Same","Yes",NA,80,NA,0.822,NA,448,0.822,0.178,NA,80,448
"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall",2014,"chinook",NA,NA,0,"Same","Yes",NA,147,NA,0.78,NA,680,0.78,0.22,NA,147,680
"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall",2015,"chinook",NA,NA,0,"Same","Yes",NA,230,NA,0.763,NA,989,0.763,0.237,NA,230,989
"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall",2016,"chinook",NA,NA,0,"Same","Yes",NA,91,NA,0.751,NA,368,0.751,0.249,NA,91,368
