"brood_code","Brood_Year","species_description","run_description","stock_description","Origin_desc","quasi_noaa_name","Wild","Hatchery","nosa_esa_pop_name","stock_id","comments","sasi_stock_num","POPFIT","BESTVALUE","nosaij","nosaej","phosij","phosej","tsaij","tsaej","pHOS","pNOS","pNOB","pHOB","pNI"
"CH:NA:COLU:2012:W",2012,"chum","fall","Columbia River","Wild Origin","Columbia River fall chum",51,0,"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","8A5D58E1-DA28-4CA7-8CC9-C2D7D2184B25",NA,"2765","Same","Yes",NA,1864,NA,0,NA,1864,0,1,1,0,1
"CH:NA:COLU:2013:W",2013,"chum","fall","Columbia River","Wild Origin","Columbia River fall chum",47,0,"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","8A5D58E1-DA28-4CA7-8CC9-C2D7D2184B25",NA,"2765","Same","Yes",NA,1595,NA,0,NA,1595,0,1,1,0,1
"CH:NA:COLU:2014:W",2014,"chum","fall","Columbia River","Wild Origin","Columbia River fall chum",80,0,"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","8A5D58E1-DA28-4CA7-8CC9-C2D7D2184B25",NA,"2765","Same","Yes",NA,2342,NA,0.019,NA,2387,0.019,0.981,1,0,0.98135426889107
"CH:NA:COLU:2015:W",2015,"chum","fall","Columbia River","Wild Origin","Columbia River fall chum",67,0,"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","8A5D58E1-DA28-4CA7-8CC9-C2D7D2184B25",NA,"2765","Same","Yes",NA,5345,NA,0,NA,5345,0,1,1,0,1
"CH:NA:COLU:2016:W",2016,"chum","fall","Columbia River","Wild Origin","Columbia River fall chum",96,0,"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","8A5D58E1-DA28-4CA7-8CC9-C2D7D2184B25",NA,"2765","Same","Yes",NA,6103,NA,0,NA,6103,0,1,1,0,1
"CH:NA:COLU:2017:W",2017,"chum","fall","Columbia River","Wild Origin","Columbia River fall chum",80,0,"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","8A5D58E1-DA28-4CA7-8CC9-C2D7D2184B25",NA,"2765","Same","Yes",NA,1499,NA,0,NA,1499,0,1,1,0,1
"CH:NA:COLU:2018:W",2018,"chum","fall","Columbia River","Wild Origin","Columbia River fall chum",96,0,"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","8A5D58E1-DA28-4CA7-8CC9-C2D7D2184B25",NA,"2765","Same","Yes",NA,4855,NA,NA,NA,4918,0.0128100854005694,0.987189914599431,1,0,0.987351937361976
"CH:NA:COLU:2018:W",2018,"chum","fall","Columbia River","Wild Origin","Columbia River fall chum",96,0,"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","8A5D58E1-DA28-4CA7-8CC9-C2D7D2184B25",NA,"2765",NA,"Yes",NA,NA,NA,0.013,NA,NA,0.013,0.987,1,0,0.987166831194472
"CH:NA:COLU:2019:W",2019,"chum","fall","Columbia River","Wild Origin","Columbia River fall chum",96,0,"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","8A5D58E1-DA28-4CA7-8CC9-C2D7D2184B25",NA,"2765","Same","Yes",NA,5555,NA,NA,NA,5555,0,1,1,0,1
"CH:NA:COLU:2019:W",2019,"chum","fall","Columbia River","Wild Origin","Columbia River fall chum",96,0,"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","8A5D58E1-DA28-4CA7-8CC9-C2D7D2184B25",NA,"2765",NA,"Yes",NA,NA,NA,0,NA,NA,0,1,1,0,1
"CH:NA:COLU:2020:W",2020,"chum","fall","Columbia River","Wild Origin","Columbia River fall chum",88,0,"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","8A5D58E1-DA28-4CA7-8CC9-C2D7D2184B25",NA,"2765","Same","Yes",NA,3380,NA,0.002,NA,3388,0.002,0.998,1,0,0.998003992015968
"CH:NA:COLU:2021:W",2021,"chum","fall","Columbia River","Wild Origin","Columbia River fall chum",110,0,"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","8A5D58E1-DA28-4CA7-8CC9-C2D7D2184B25",NA,"2765","Same","Yes",NA,8306,NA,0.021,NA,8418,0.021,0.979,1,0,0.979431929480901
"CH:NA:COLU:2022:W",2022,"chum","fall","Columbia River","Wild Origin","Columbia River fall chum",84,0,"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","8A5D58E1-DA28-4CA7-8CC9-C2D7D2184B25",NA,"2765","Same","Yes",NA,7901,NA,0,NA,7902,0,1,1,0,1
"CH:NA:COLU:2023:W",2023,"chum","fall","Columbia River","Wild Origin","Columbia River fall chum",84,0,"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","8A5D58E1-DA28-4CA7-8CC9-C2D7D2184B25",NA,"2765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
"CH:NA:GRAY:2010:M",2010,"chum","fall","Grays River","Mixed Hatchery/Wild Origin","Grays River fall chum",287,0,"Salmon, chum (Columbia River ESU) Grays and Chinook Rivers - fall","21B7D79C-A1CF-4C67-A798-D61AD141A523",NA,"2748","Same","Yes",NA,6082,NA,0.047,NA,6380,0.047,0.953,1,0,0.955109837631328
"CH:NA:GRAY:2011:M",2011,"chum","fall","Grays River","Mixed Hatchery/Wild Origin","Grays River fall chum",293,0,"Salmon, chum (Columbia River ESU) Grays and Chinook Rivers - fall","21B7D79C-A1CF-4C67-A798-D61AD141A523",NA,"2748","Same","Yes",NA,10052,NA,0.07,NA,10809,0.07,0.93,1,0,0.934579439252336
"CH:NA:GRAY:2012:M",2012,"chum","fall","Grays River","Mixed Hatchery/Wild Origin","Grays River fall chum",226,0,"Salmon, chum (Columbia River ESU) Grays and Chinook Rivers - fall","21B7D79C-A1CF-4C67-A798-D61AD141A523",NA,"2748","Same","Yes",NA,7782,NA,0.028,NA,8010,0.028,0.972,1,0,0.972762645914397
"CH:NA:GRAY:2013:M",2013,"chum","fall","Grays River","Mixed Hatchery/Wild Origin","Grays River fall chum",246,0,"Salmon, chum (Columbia River ESU) Grays and Chinook Rivers - fall","21B7D79C-A1CF-4C67-A798-D61AD141A523",NA,"2748","Same","Yes",NA,4832,NA,0.059,NA,5134,0.059,0.941,1,0,0.944287063267233
"CH:NA:GRAY:2014:M",2014,"chum","fall","Grays River","Mixed Hatchery/Wild Origin","Grays River fall chum",246,0,"Salmon, chum (Columbia River ESU) Grays and Chinook Rivers - fall","21B7D79C-A1CF-4C67-A798-D61AD141A523",NA,"2748","Same","Yes",NA,4267,NA,0.11,NA,4792,0.11,0.89,1,0,0.900900900900901
"CH:NA:GRAY:2015:M",2015,"chum","fall","Grays River","Mixed Hatchery/Wild Origin","Grays River fall chum",127,0,"Salmon, chum (Columbia River ESU) Grays and Chinook Rivers - fall","21B7D79C-A1CF-4C67-A798-D61AD141A523",NA,"2748","Same","Yes",NA,10857,NA,0.062,NA,11580,0.062,0.938,1,0,0.941619585687382
"CH:NA:GRAY:2016:M",2016,"chum","fall","Grays River","Mixed Hatchery/Wild Origin","Grays River fall chum",126,0,"Salmon, chum (Columbia River ESU) Grays and Chinook Rivers - fall","21B7D79C-A1CF-4C67-A798-D61AD141A523",NA,"2748","Same","Yes",NA,30408,NA,0.023,NA,31138,0.023,0.977,1,0,0.977517106549365
"CH:NA:GRAY:2017:M",2017,"chum","fall","Grays River","Mixed Hatchery/Wild Origin","Grays River fall chum",116,0,"Salmon, chum (Columbia River ESU) Grays and Chinook Rivers - fall","21B7D79C-A1CF-4C67-A798-D61AD141A523",NA,"2748","Same","Yes",NA,6217,NA,0.067,NA,6662,0.067,0.933,1,0,0.937207122774133
