"esa_pop_name","Brood_Year","sasi_stock_num","species","run","release_location","release_id","name","latitude","longitude","Region","Hatchery_Region_Group","stock","origin","BROOD_Code","total_amt","release_method","psc_code","fish_per_pound_num","mean_length","anadromous_waters","comments","run_release"
"Salmon, coho (Lower Columbia River ESU) Coweeman River - late",2010,"3700","coho","fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Coweeman River - late",2011,"3700","coho","fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Coweeman River - late",2012,"3700","coho","fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Coweeman River - late",2013,"3700","coho","fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Coweeman River - late",2014,"3700","coho","fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Coweeman River - late",2015,"3700","coho","fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Coweeman River - late",2016,"3700","coho","fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Coweeman River - late",2017,"3700","coho","fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Coweeman River - late",2018,"3700","coho","fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Coweeman River - late",2019,"3700","coho","fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Coweeman River - late",2020,"3700","coho","fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Coweeman River - late",2021,"3700","coho","fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Coweeman River - late",2022,"3700","coho","fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Coweeman River - late",2023,"3700","coho","fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2010,"3645","coho","fall","BEAVER CR RELEASES    25.0247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2010,"3645","coho","fall","ELOCHOMAN R  25.0236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2010,"3645","coho","fall","SKAMOKAWA CR 25.0194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2011,"3645","coho","fall","BEAVER CR RELEASES    25.0247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2011,"3645","coho","fall","ELOCHOMAN R  25.0236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2011,"3645","coho","fall","SKAMOKAWA CR 25.0194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2012,"3645","coho","fall","BEAVER CR RELEASES    25.0247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2012,"3645","coho","fall","ELOCHOMAN R  25.0236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2012,"3645","coho","fall","SKAMOKAWA CR 25.0194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2013,"3645","coho","fall","BEAVER CR RELEASES    25.0247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2013,"3645","coho","fall","ELOCHOMAN R  25.0236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2013,"3645","coho","fall","SKAMOKAWA CR 25.0194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2014,"3645","coho","fall","BEAVER CR RELEASES    25.0247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2014,"3645","coho","fall","ELOCHOMAN R  25.0236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2014,"3645","coho","fall","SKAMOKAWA CR 25.0194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2015,"3645","coho","fall","BEAVER CR RELEASES    25.0247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2015,"3645","coho","fall","ELOCHOMAN R  25.0236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2015,"3645","coho","fall","SKAMOKAWA CR 25.0194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2016,"3645","coho","fall","BEAVER CR RELEASES    25.0247",42,"BEAVER CR HATCHERY","46.223000","-123.330500",5,"COLUMBIA RIVER REGION","Grays River","Hatchery Origin","CO:NO:GRAY:2016:H","19400.00","Forced","3F42001  250247 R01","14.40","141.00","Y",NA,"fall"
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2016,"3645","coho","fall","BEAVER CR RELEASES    25.0247",43,"BEAVER CR HATCHERY","46.223000","-123.330500",5,"COLUMBIA RIVER REGION","Grays River","Hatchery Origin","CO:NO:GRAY:2016:H","54500.00","Forced","3F42001  250247 R01","14.40","141.00","Y",NA,"fall"
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2016,"3645","coho","fall","ELOCHOMAN R  25.0236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2016,"3645","coho","fall","SKAMOKAWA CR 25.0194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2017,"3645","coho","fall","BEAVER CR RELEASES    25.0247",34,"BEAVER CR HATCHERY","46.223000","-123.330500",5,"COLUMBIA RIVER REGION","Grays River","Hatchery Origin","CO:NO:GRAY:2017:H","61750.00","Forced","3F42001  250247 R01","11.30","150.00","Y",NA,"fall"
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2017,"3645","coho","fall","BEAVER CR RELEASES    25.0247",35,"BEAVER CR HATCHERY","46.223000","-123.330500",5,"COLUMBIA RIVER REGION","Grays River","Hatchery Origin","CO:NO:GRAY:2017:H","41000.00","Forced","3F42001  250247 R01","11.30","150.00","Y",NA,"fall"
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2017,"3645","coho","fall","ELOCHOMAN R  25.0236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2017,"3645","coho","fall","SKAMOKAWA CR 25.0194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2018,"3645","coho","fall","BEAVER CR RELEASES    25.0247",20,"BEAVER CR HATCHERY","46.223000","-123.330500",5,"COLUMBIA RIVER REGION","Grays River","Hatchery Origin","CO:NO:GRAY:2018:H","47329.00","Forced","3F42001  250247 R01","14.80","144.53","Y",NA,"fall"
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2018,"3645","coho","fall","BEAVER CR RELEASES    25.0247",31,"BEAVER CR HATCHERY","46.223000","-123.330500",5,"COLUMBIA RIVER REGION","Grays River","Hatchery Origin","CO:NO:GRAY:2018:H","153071.00","Forced","3F42001  250247 R01","14.80","144.53","Y",NA,"fall"
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2018,"3645","coho","fall","ELOCHOMAN R  25.0236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2018,"3645","coho","fall","SKAMOKAWA CR 25.0194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2019,"3645","coho","fall","BEAVER CR RELEASES    25.0247",16,"BEAVER CR HATCHERY","46.223000","-123.330500",5,"COLUMBIA RIVER REGION","Grays River","Mixed Hatchery/Wild Origin","CO:NO:GRAY:2019:M","40554.00","Volitional","3F42001  250247 R01","16.17","134.00","Y",NA,"fall"
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2019,"3645","coho","fall","BEAVER CR RELEASES    25.0247",17,"BEAVER CR HATCHERY","46.223000","-123.330500",5,"COLUMBIA RIVER REGION","Elochoman River","Hatchery Origin","CO:NO:ELOC:2019:H","45566.00","Volitional","3F42001  250247 R01","16.17","134.30","Y",NA,"fall"
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2019,"3645","coho","fall","BEAVER CR RELEASES    25.0247",25,"BEAVER CR HATCHERY","46.223000","-123.330500",5,"COLUMBIA RIVER REGION","Elochoman River","Hatchery Origin","CO:NO:ELOC:2019:H","66687.00","Volitional","3F42001  250247 R01","16.17","134.00","Y",NA,"fall"
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2019,"3645","coho","fall","ELOCHOMAN R  25.0236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2019,"3645","coho","fall","SKAMOKAWA CR 25.0194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2020,"3645","coho","fall","BEAVER CR RELEASES    25.0247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2020,"3645","coho","fall","ELOCHOMAN R  25.0236",8,"BEAVER CR HATCHERY","46.22868","-123.394026",5,"COLUMBIA RIVER REGION","Elochoman River","Mixed Hatchery/Wild Origin","CO:NO:ELOC:2020:M","165272.00","Volitional","3F42001  250236 R","14.80","143.72","Y",NA,"fall"
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late",2020,"3645","coho","fall","SKAMOKAWA CR 25.0194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
