"esa_pop_name","species","run","name","stock","origin","release_location"
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late","coho","fall","BEAVER CR HATCHERY","Grays River","Hatchery Origin","BEAVER CR RELEASES    25.0247"
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late","coho","fall","BEAVER CR HATCHERY","Grays River","Mixed Hatchery/Wild Origin","BEAVER CR RELEASES    25.0247"
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late","coho","fall","BEAVER CR HATCHERY","Elochoman River","Hatchery Origin","BEAVER CR RELEASES    25.0247"
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late","coho","fall","BEAVER CR HATCHERY","Elochoman River","Mixed Hatchery/Wild Origin","ELOCHOMAN R  25.0236"
"Salmon, coho (Lower Columbia River ESU) Elochoman River - late","coho","fall","BEAVER CR HATCHERY","Elochoman River","Mixed Hatchery/Wild Origin","BEAVER CR RELEASES    25.0247"
"Salmon, coho (Lower Columbia River ESU) Kalama River - late","coho","fall","FALLERT CR HATCHERY","Kalama River","Mixed Hatchery/Wild Origin","FALLERT CR   27.0017"
"Salmon, coho (Lower Columbia River ESU) Kalama River - late","coho","fall","KALAMA FALLS HATCHERY","Kalama River","Mixed Hatchery/Wild Origin","KALAMA R     27.0002"
"Salmon, coho (Lower Columbia River ESU) Kalama River - late","coho","fall","KALAMA FALLS HATCHERY","Kalama Hatchery Stock","Hatchery Origin","KALAMA R     27.0002"
"Salmon, coho (Lower Columbia River ESU) Washougal River - late","coho","fall","WASHOUGAL HATCHERY","Washougal River","Hatchery Origin","WASHOUGAL R  28.0159"
"Salmon, coho (Lower Columbia River ESU) Washougal River - late","coho","fall","WASHOUGAL HATCHERY","Washougal River","Mixed Hatchery/Wild Origin","WASHOUGAL R  28.0159"
"Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","coho","fall","LEWIS RIVER HATCHERY","Lewis River","Hatchery Origin","LEWIS R -NF  27.0168"
"Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","coho","fall","SPEELYAI BAY NP","Lewis River","Hatchery Origin","LEWIS R -NF  27.0168"
"Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","coho","fall","LEWIS RIVER HATCHERY","Lewis River","Hatchery Origin","LEWIS R      27.0168"
"Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","coho","fall","LEWIS RIVER HATCHERY","Lewis River","Mixed Hatchery/Wild Origin","LEWIS R -NF  27.0168"
"Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","coho","fall","LEWIS RIVER HATCHERY","Lewis River","Mixed Hatchery/Wild Origin","LEWIS R      27.0168"
"Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","coho","fall","LEWIS RIVER HATCHERY","Lewis River Hatchery Stock","Hatchery Origin","LEWIS R -NF  27.0168"
"Salmon, chum (Columbia River ESU) Lewis River - fall","chum","fall","LEWIS RIVER HATCHERY","I-205","Wild Origin","LEWIS R -EF  27.0173"
"Salmon, chum (Columbia River ESU) Lewis River - fall","chum","fall","VANCOUVER HATCHERY","I-205","Wild Origin","LEWIS R      27.0168"
"Salmon, chum (Columbia River ESU) Lewis River - fall","chum","fall","VANCOUVER HATCHERY","I-205","Wild Origin","LEWIS R -EF  27.0173"
"Steelhead (Lower Columbia River DPS) North Fork Lewis River - winter","steelhead","winter","MERWIN HATCHERY","Lewis River","Hatchery Origin","LEWIS R -NF  27.0168"
"Steelhead (Lower Columbia River DPS) North Fork Lewis River - winter","steelhead","winter","MERWIN HATCHERY","Lewis River","Wild Origin","LEWIS R -NF  27.0168"
"Steelhead (Lower Columbia River DPS) North Fork Lewis River - winter","steelhead","winter","MERWIN HATCHERY","Skamania","Hatchery Origin","LEWIS R -NF  27.0168"
"Steelhead (Lower Columbia River DPS) North Fork Lewis River - winter","steelhead","winter","MERWIN HATCHERY","Merwin Hatchery Stock","Hatchery Origin","LEWIS R -NF  27.0168"
"Salmon, chum (Columbia River ESU) Elochoman River - fall","chum","fall","BEAVER CR HATCHERY","Grays River","Mixed Hatchery/Wild Origin","SKAMOKAWA CR 25.0194"
"Steelhead (Lower Columbia River DPS) Kalama River - summer","steelhead","summer","FALLERT CR HATCHERY","Skamania","Hatchery Origin","FALLERT CR   27.0017"
"Steelhead (Lower Columbia River DPS) Kalama River - summer","steelhead","summer","KALAMA FALLS HATCHERY","Kalama River","Wild Origin","KALAMA R     27.0002"
"Steelhead (Lower Columbia River DPS) Kalama River - summer","steelhead","summer","GOBAR POND      (27)","Kalama River","Wild Origin","GOBAR CR     27.0073"
"Steelhead (Lower Columbia River DPS) Kalama River - summer","steelhead","summer","FALLERT CR HATCHERY","Kalama River","Wild Origin","FALLERT CR   27.0017"
"Steelhead (Lower Columbia River DPS) East Fork Lewis River - winter","steelhead","winter","SKAMANIA HATCHERY","Skamania","Hatchery Origin","LEWIS R -EF  27.0173"
"Steelhead (Lower Columbia River DPS) Washougal River - winter","steelhead","winter","SKAMANIA HATCHERY","Skamania","Hatchery Origin","WASHOUGAL R  28.0159"
"Steelhead (Lower Columbia River DPS) Washougal River - winter","steelhead","winter","SKAMANIA HATCHERY","Skamania","Hatchery Origin","WASHOUGAL-NF 28.0200"
"Steelhead (Lower Columbia River DPS) Washougal River - winter","steelhead","winter","SKAMANIA HATCHERY","Eagle Creek Hatchery Stock","Hatchery Origin","WASHOUGAL-NF 28.0200"
"Steelhead (Lower Columbia River DPS) Washougal River - winter","steelhead","winter","SKAMANIA HATCHERY","Big Creek, OR","Hatchery Origin","WASHOUGAL-NF 28.0200"
"Steelhead (Lower Columbia River DPS) Washougal River - winter","steelhead","winter","SKAMANIA HATCHERY","Sandy River Stock, OR","Hatchery Origin","WASHOUGAL R  28.0159"
"Steelhead (Lower Columbia River DPS) Washougal River - winter","steelhead","winter","SKAMANIA HATCHERY","Skamania Hatchery Stock","Hatchery Origin","WASHOUGAL-NF 28.0200"
"Steelhead (Lower Columbia River DPS) Washougal River - winter","steelhead","winter","SKAMANIA HATCHERY","Skamania Hatchery Stock","Hatchery Origin","WASHOUGAL R  28.0159"
"Steelhead (Lower Columbia River DPS) Upper Cowlitz River - winter","steelhead","winter","COWLITZ TROUT HATCHERY","Upper Cowlitz River","Mixed Hatchery/Wild Origin","Upper Cowlitz River"
"Steelhead (Lower Columbia River DPS) Upper Cowlitz River - winter","steelhead","winter","COWLITZ TROUT HATCHERY","Upper Cowlitz River","Wild Origin","Upper Cowlitz River"
"Steelhead (Lower Columbia River DPS) Tilton River - winter","steelhead","winter","COWLITZ TROUT HATCHERY","Tilton River","Mixed Hatchery/Wild Origin","Tilton River"
"Steelhead (Lower Columbia River DPS) Tilton River - winter","steelhead","winter","COWLITZ TROUT HATCHERY","Tilton River","Wild Origin","Tilton River"
"Steelhead (Lower Columbia River DPS) Upper Gorge Tributaries - winter","steelhead","winter","SKAMANIA HATCHERY","Skamania","Hatchery Origin","ROCK CR      29.0002"
"Steelhead (Lower Columbia River DPS) Upper Gorge Tributaries - winter","steelhead","winter","SKAMANIA HATCHERY","Skamania","Hatchery Origin","ROCK CR      29.0133"
"Steelhead (Lower Columbia River DPS) Upper Gorge Tributaries - winter","steelhead","winter","SKAMANIA HATCHERY","Eagle Creek Hatchery Stock","Hatchery Origin","ROCK CR      29.0133"
"Steelhead (Lower Columbia River DPS) Upper Gorge Tributaries - winter","steelhead","winter","SKAMANIA HATCHERY","Big Creek, OR","Hatchery Origin","ROCK CR      29.0133"
"Steelhead (Lower Columbia River DPS) Upper Gorge Tributaries - winter","steelhead","winter","SKAMANIA HATCHERY","Sandy River Stock, OR","Hatchery Origin","ROCK CR      29.0133"
"Steelhead (Lower Columbia River DPS) Upper Gorge Tributaries - winter","steelhead","winter","SKAMANIA HATCHERY","Skamania Hatchery Stock","Hatchery Origin","ROCK CR      29.0133"
