"facility_name","latitude","longitude","description","species_description","run_description","stock_description","Origin_desc","Description","quasi_noaa_name","nosa_esa_pop_name","stock_id","comments"
"BEAVER CR HATCHERY",46.225902,-123.328784,"EggTake","CHINOOK","FALL","Elochoman River","Hatchery Origin","AD","Elochoman River FALL CHINOOK",NA,NA,NA
"BEAVER CR HATCHERY",46.225902,-123.328784,"EggTake","CHUM","NA","Grays River","Mixed Hatchery/Wild Origin","Unmarked","Grays River FALL CHUM","Salmon, chum (Columbia River ESU) Grays and Chinook Rivers - fall","21B7D79C-A1CF-4C67-A798-D61AD141A523",NA
"BEAVER CR HATCHERY",46.225902,-123.328784,"EggTake","COHO","TYPE N","Elochoman River","Hatchery Origin","AD","Elochoman River FALL COHO","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","A8655092-2FE2-46DE-B49B-C5A2F4D44451",NA
"BEAVER CR HATCHERY",46.225902,-123.328784,"EggTake","COHO","TYPE N","Elochoman River","Mixed Hatchery/Wild Origin","AD","Elochoman River FALL COHO","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","A8655092-2FE2-46DE-B49B-C5A2F4D44451",NA
"BEAVER CR HATCHERY",46.225902,-123.328784,"EggTake","COHO","TYPE N","Elochoman River","Mixed Hatchery/Wild Origin","Unmarked","Elochoman River FALL COHO","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","A8655092-2FE2-46DE-B49B-C5A2F4D44451",NA
"BEAVER CR HATCHERY",46.225902,-123.328784,"EggTake","STEELHEAD","WINTER","Beaver Creek Hatchery Stock","Hatchery Origin","AD","Beaver Creek Hatchery Stock WINTER STEELHEAD",NA,NA,NA
"BEAVER CR HATCHERY",46.225902,-123.328784,"EggTake","STEELHEAD","WINTER","Elochoman River","Hatchery Origin","AD","Elochoman River WINTER STEELHEAD",NA,NA,NA
"COWLITZ SALMON HATCHERY",46.5113,-122.6293,"EggTake","CHINOOK","FALL","Cowlitz River","Hatchery Origin","AD","Cowlitz River FALL CHINOOK","Salmon, Chinook (Lower Columbia River ESU) Lower Cowlitz River - fall","2780D7B8-3349-4A06-87C9-386B95DF1882",NA
"COWLITZ SALMON HATCHERY",46.5113,-122.6293,"EggTake","CHINOOK","FALL","Cowlitz River","Mixed Hatchery/Wild Origin","AD","Cowlitz River FALL CHINOOK","Salmon, Chinook (Lower Columbia River ESU) Lower Cowlitz River - fall","2780D7B8-3349-4A06-87C9-386B95DF1882",NA
"COWLITZ SALMON HATCHERY",46.5113,-122.6293,"EggTake","CHINOOK","FALL","Cowlitz River","Mixed Hatchery/Wild Origin","Unmarked","Cowlitz River FALL CHINOOK","Salmon, Chinook (Lower Columbia River ESU) Lower Cowlitz River - fall","2780D7B8-3349-4A06-87C9-386B95DF1882",NA
